Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.1876176,0.310279,0.3430663,0.2625481,0.3067439,0.2390624,0.2222518,0.257668,0.3061791,0.2717778,0.2398031,0.2354596,0.2387433,0.2255587,0.2208892,0.2315857,0.2311354,0.2218253,0.2265093,0.2389393,0.2377144,0.2646188
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.414042,-2.422996,-2.440187,-2.035389,-2.197809,-2.296179,-2.070934,-2.221302,-2.410581,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.801084,-2.763864,-2.655531,-2.729808
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2,2,2,2,2,4,4,4,3,3,4,4,4,5,6,6,6,6,6,6,6,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.12766,0.5319149,0.5291005,1.587302,2.01005,1.941748,2.427185,1.449275,1.449275,0.4807692,0.4739336,1.421801,1.421801,1.895735,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4716981,0.9433962,0.4716981
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0,0.4854369,0.4854369,0.4830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,6.914894,7.446808,5.820106,13.22751,6.030151,4.368932,6.310679,6.763285,4.347826,1.923077,1.895735,3.317536,2.369668,3.791469,3.317536,5.238095,2.857143,3.333333,1.428571,2.35849,3.301887,2.35849
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4753152,0.4353236,0.4556421,0.4386366,0.3504379,0.3051023,0.3040168,0.2898833,0.3081072,0.3107432,0.2938249,0.2820698,0.2738843,0.2438815,0.2457412,0.2088946,0.2156042,0.219708,0.228036,0.2271018,0.241348,0.2478092
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-2.09033,-2.087256,-2.109626,-1.804449,-1.430002,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.336691,-1.133277,-1.12069,-1.378587
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,1,1,1,2,2,4,4,5,4,5,6,6,6,8,9,9,9,9,9,9,9,8
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,1.630435,2.590674,1.538462,3.061224,5.612245,5.418719,3.431373,2.941176,2.912621,3.398058,3.349282,5.263158,4.265403,10.90047,10.90047,11.05769,14.42308,7.211538,6.730769,10.57692,10.09615,8.173077
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,0,0,0,0,2.55102,1.970443,1.470588,1.960784,1.941748,2.427185,1.913876,2.392344,2.369668,4.739336,5.687204,5.288462,6.730769,3.846154,3.365385,6.25,6.25,3.846154
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,5.978261,7.772021,8.205129,7.142857,15.30612,11.82266,8.333333,8.823529,8.737864,7.76699,5.741627,8.133971,9.00474,21.80095,21.80095,24.51923,27.88461,12.98077,13.94231,18.75,19.71154,11.53846
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3863604,0.4513973,0.4266121,0.3052726,0.2357035,0.2247376,0.1828545,0.2177992,0.2408837,0.2104985,0.1910165,0.1867443,0.1844583,0.1835645,0.1761271,0.1916864,0.1852201,0.1963836,0.190444,0.1922876,0.191535,0.2076032
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.788075,-1.73714,-1.778437,-1.670823,-1.553829,-1.697143,-1.658668,-1.863189,-1.829666,-1.86438,-1.847092,-1.845427,-1.896546,-1.643081,-1.597348,-1.445761,-1.504086,-1.498478,-1.562423,-1.664038,-1.713714,-1.807697
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,3,3,3,4,4,6,7,9,8,9,10,10,10,11,12,11,11,11,11,11,11,10
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,1.507538,2,1.485149,1.980198,3.960396,2.870813,1.913876,0.4784689,0.9569378,0.4807692,0.9478673,0.4739336,0.4694836,1.408451,1.408451,4.326923,3.365385,5.769231,4.807693,4.326923,4.326923,2.403846
Afghanistan,AFG,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9615384,0.9615384,2.403846,1.442308,1.442308,0.9615384,0.9615384
Afghanistan,AFG,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,12.56281,11,8.910892,10.89109,15.34653,7.655502,8.61244,3.827751,5.263158,3.846154,2.369668,2.369668,1.877934,5.633803,7.511737,9.134615,7.692307,9.134615,8.173077,6.730769,5.288462,4.807693
Afghanistan,AFG,Rule of Law: Standard Error,RL.STD.ERR,0.3505094,0.3315707,0.2940169,0.2994065,0.3039598,0.2159792,0.2060798,0.2013116,0.253809,0.2222655,0.1814506,0.1814082,0.1745103,0.1662243,0.1591135,0.1745951,0.1729274,0.1748898,0.1634849,0.1581105,0.1579496,0.1590236
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.90854,-2.039301,-2.031417,-1.433421,-1.177571,-1.203034,-1.12543,-1.110294,-1.057654,-1.168902,-1.375497,-1.404468,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.037838,-0.9908541,-1.011603,-1.006792,-1.083459
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,4,4,4,6,5,7,8,9,10,10,10,10,10,11,12,10,10,10,10,10,10,9
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,1,0.4975124,0.9950249,9.452736,14.42786,15.38461,14.90385,17.78846,18.75,14.42308,9.478673,9.952606,11.26761,14.08451,14.55399,16.25616,18.71921,20.68966,22.16749,20.28986,21.25604,19.32367
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,0,0,0,2.985075,6.965174,7.211538,8.173077,8.653846,10.09615,9.134615,6.161138,5.687204,7.042253,6.57277,8.450705,9.359606,10.83744,13.30049,14.28571,13.52657,15.45894,13.04348
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,9.5,4.975124,5.472637,14.92537,24.37811,21.63461,23.55769,25,25,21.63461,14.21801,13.74408,15.96244,16.43192,17.37089,21.67488,22.6601,23.64532,24.63054,25.12077,24.63768,23.18841
Afghanistan,AFG,Voice and Accountability: Standard Error,VA.STD.ERR,0.2614571,0.2560896,0.2540425,0.1894534,0.2070454,0.1755902,0.1732953,0.1501664,0.1455052,0.143899,0.1477149,0.1432547,0.1438009,0.1347571,0.1234084,0.132239,0.1346303,0.1298793,0.1308068,0.1338701,0.1272342,0.1312928
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.8939035,-1.033112,-0.8572564,-0.868602,-0.8122751,-0.6991984,-0.7861931,-0.803845,-0.687789,-0.5937066,-0.5384951,-0.5252154,-0.6829866,-0.7264909,-0.6984319,-0.5481635,-0.4790351,-0.4051488,-0.4207218,-0.4786321,-0.5330888,-0.5401961
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,3,5,6,6,7,9,10,12,12,12,12,12,13,14,13,12,12,12,12,12,12,10
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,19.35484,14.43299,23.85787,23.73737,24.24242,27.31707,22.92683,22.92683,28.64078,33.49514,35.4067,36.19048,26.54029,27.48815,27.01422,34.61538,38.46154,40.86538,42.30769,37.98077,33.17308,31.73077
Albania,ALB,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,2.688172,2.061856,6.598985,6.060606,10.10101,14.63415,15.60976,14.63415,18.4466,20.38835,23.92344,23.80952,18.95735,18.48341,19.43128,24.51923,26.92308,31.73077,29.80769,26.92308,25,24.03846
Albania,ALB,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,43.01075,31.4433,35.53299,34.34343,35.85859,40.4878,36.58537,34.63415,37.86408,42.23301,47.36842,48.09524,39.33649,36.01896,37.91469,46.63462,49.51923,50.96154,49.03846,46.15385,44.23077,45.67308
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.315914,0.2237249,0.2161122,0.2062487,0.1895081,0.1728383,0.153501,0.1465164,0.14885,0.1397606,0.1445861,0.1409023,0.136157,0.1242841,0.1278025,0.1291455,0.1297924,0.1333745,0.1231666,0.1314101,0.1416586,0.1452865
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.6885879,-0.6313924,-0.7551177,-0.5333483,-0.5382094,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2828144,-0.2082341,-0.2678901,-0.317147,-0.0859348,0.0100208,0.0130421,0.0768489,0.0572399,-0.0622132,-0.1357432
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,2,3,4,5,5,6,7,9,9,9,9,9,9,10,10,9,9,8,8,8,8,7
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,25.68306,24.87047,23.07692,34.69388,35.20408,42.36453,31.37255,35.60976,42.23301,44.17476,47.84689,44.49761,47.39336,45.97157,45.49763,50,53.36538,52.88462,56.73077,55.76923,50.48077,48.07692
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,15.84699,13.4715,9.230769,17.85714,15.81633,20.19704,16.17647,22.43902,25.24272,27.18447,33.97129,31.57895,36.49289,31.75356,31.27962,36.53846,41.82692,40.86538,42.30769,40.38462,36.53846,33.65385
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,38.25137,47.66839,43.58974,49.4898,52.55102,56.65025,43.62745,48.29268,51.94175,55.33981,57.41627,57.41627,60.18958,58.29384,54.9763,63.94231,66.34615,66.34615,68.26923,67.78846,63.94231,62.01923
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.1816614,0.2417249,0.2467369,0.2170619,0.2377552,0.2390393,0.2003811,0.1868902,0.2083305,0.2106728,0.2071341,0.2084891,0.206763,0.1984309,0.1959306,0.2159334,0.2163887,0.2055577,0.2080486,0.210294,0.2168576,0.2360006
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3338114,-0.5427064,-0.5379785,-0.2945781,-0.3088242,-0.4283776,-0.5071405,-0.5083324,-0.203224,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3784748,0.3705156,0.1111686,0.0839363
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3,3,3,3,3,4,5,6,6,6,6,6,7,8,8,8,8,8,8,8,7,6
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,35.6383,28.7234,29.62963,34.39153,36.1809,30.09709,29.61165,29.95169,37.68116,43.26923,42.1801,38.38863,37.44076,40.28436,49.2891,61.42857,58.09524,58.09524,59.52381,58.49057,51.88679,49.5283
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,17.02128,13.29787,13.22751,20.10582,22.11055,18.93204,18.4466,17.8744,24.63768,29.80769,28.90995,25.59242,24.64455,29.85782,36.49289,52.38095,45.23809,47.14286,46.19048,47.16981,36.32076,36.79245
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,57.44681,48.40425,50.79365,58.20106,51.25628,48.54369,45.63107,42.99517,50.72464,57.69231,57.8199,52.1327,50.23697,53.5545,62.55924,74.28571,67.14286,70,70.95238,69.33962,60.84906,61.32076
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4219024,0.381321,0.397162,0.3945794,0.3311687,0.3166145,0.3011172,0.2741809,0.2626058,0.2640872,0.2652642,0.2604739,0.2508663,0.2219843,0.2280198,0.1963862,0.2029834,0.2077957,0.21595,0.215237,0.2330146,0.2382714
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.4744017,-0.1730493,-0.2543595,-0.2246936,-0.4475814,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223364,0.2541973,0.2738677,0.2371311
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,4,5,6,7,7,8,9,10,10,10,10,10,11,12,12,11,11,10,9,9,9,8
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,30.43478,44.55959,40.51282,45.40816,38.2653,48.76847,43.62745,51.47059,55.33981,55.82524,58.37321,57.89474,57.34597,57.34597,57.8199,60.09615,59.13462,60.57692,61.53846,63.46154,63.94231,60.57692
Albania,ALB,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,15.76087,24.35233,22.05128,28.57143,21.42857,34.97537,25.98039,40.19608,47.57281,51.45631,52.63158,51.67464,52.60664,50.7109,51.18483,51.44231,49.51923,50.96154,51.92308,53.84615,53.36538,49.51923
Albania,ALB,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,57.6087,64.76684,60,58.67347,50,58.12808,51.96078,56.86274,62.13592,63.59223,66.50718,67.94258,67.77251,67.29858,67.77251,68.26923,68.75,68.26923,72.11539,71.15385,71.63461,72.11539
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3273613,0.2981825,0.2777828,0.225168,0.1866354,0.1878622,0.1640617,0.1800073,0.1814753,0.1783554,0.1695083,0.1659291,0.1593378,0.1670317,0.1684451,0.1801694,0.1746228,0.1779754,0.1842464,0.184334,0.1834439,0.200558
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.6844818,-0.9243252,-1.00878,-0.7621468,-0.7231404,-0.6877728,-0.7363358,-0.684769,-0.6462957,-0.5886946,-0.5004299,-0.4073618,-0.4553454,-0.5202896,-0.5180739,-0.3379574,-0.3283079,-0.3289996,-0.4043231,-0.4033851,-0.4110933,-0.3582943
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,6,7,9,10,10,11,12,14,14,14,14,15,16,17,16,14,14,12,12,12,12,11
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,28.64322,19.5,18.81188,27.22772,28.21782,28.70813,28.70813,28.70813,30.62201,34.61538,38.38863,41.23223,41.31455,39.43662,39.43662,43.26923,44.23077,41.82692,38.94231,38.94231,38.94231,40.86538
Albania,ALB,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,16.58291,8,7.425743,14.85149,15.34653,17.22488,16.26794,20.09569,20.09569,21.63461,27.96209,31.27962,30.04695,28.6385,27.69953,32.69231,32.69231,31.25,29.32692,28.84615,27.40385,29.80769
Albania,ALB,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,42.21106,32.5,29.70297,38.61386,41.08911,39.71292,38.75598,41.14833,42.10526,42.30769,45.97157,49.2891,47.88733,46.00939,45.53991,52.40385,54.32692,52.40385,48.07692,48.55769,47.11538,48.55769
Albania,ALB,Rule of Law: Standard Error,RL.STD.ERR,0.2466153,0.2365784,0.2097745,0.2014236,0.2016688,0.1837513,0.1813111,0.1537002,0.1521217,0.1461883,0.1405297,0.1349396,0.1287913,0.1234199,0.1263936,0.1335124,0.1355691,0.1547461,0.1443646,0.137496,0.1396541,0.1402936
Albania,ALB,Voice and Accountability: Estimate,VA.EST,-0.6482978,-0.3873729,-0.2851387,-0.0081502,0.0703077,0.0072375,0.0036718,0.0758899,0.1130085,0.1749391,0.1414773,0.1238216,0.0623338,0.0220641,0.0488926,0.1437607,0.1571486,0.1709267,0.2037846,0.1807338,0.1427107,0.0873399
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,5,5,6,7,8,9,11,13,13,13,13,14,15,16,15,12,12,12,12,12,11,10
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,29.5,38.80597,41.29353,48.25871,50.24876,49.03846,51.44231,49.03846,51.92308,53.36538,54.02843,54.02843,52.11267,50.70422,51.17371,50.2463,52.70936,52.21675,54.18719,52.65701,52.17391,51.20773
Albania,ALB,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,16.5,27.36318,30.84577,41.29353,41.79105,39.90385,40.38462,41.82692,45.19231,45.67308,45.0237,44.07583,43.19249,43.66197,43.19249,46.79803,45.81281,45.3202,46.30542,44.44444,42.99517,40.09662
Albania,ALB,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,40.5,48.75622,51.74129,56.71642,60.19901,58.17308,59.13462,56.25,57.21154,58.17308,57.8199,57.34597,55.86855,56.33803,56.33803,59.1133,58.62069,57.63547,59.1133,58.9372,57.48792,57.00483
Albania,ALB,Voice and Accountability: Standard Error,VA.STD.ERR,0.2254109,0.2337635,0.1964206,0.1691319,0.167301,0.1752751,0.1719998,0.1353045,0.134594,0.1343131,0.1369838,0.1305629,0.126827,0.1178716,0.1177323,0.1248963,0.1273109,0.1226681,0.1243083,0.1271437,0.1218257,0.1249173
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.5667409,-0.8817795,-0.9379111,-0.8756811,-0.6922612,-0.679478,-0.482172,-0.5213351,-0.5599289,-0.5945694,-0.5778834,-0.5249873,-0.5445604,-0.5032518,-0.473337,-0.5999988,-0.6456115,-0.6777601,-0.6018301,-0.65687,-0.6211485,-0.6418455
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,4,6,6,6,8,10,10,11,12,12,12,12,13,14,14,13,12,12,12,11,10,8
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,33.33333,22.16495,18.78173,23.23232,28.78788,27.80488,40,36.58537,34.46602,33.00971,33.49282,36.66667,35.07109,37.44076,39.33649,32.21154,29.80769,27.88461,30.76923,27.88461,29.32692,28.36539
Algeria,DZA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,16.66667,6.701031,4.568528,6.060606,13.13131,16.09756,23.90244,23.90244,20.38835,19.41748,20.09569,21.90476,22.27488,26.06635,26.06635,21.15385,18.75,15.38461,19.23077,16.82692,18.75,17.78846
Algeria,DZA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,52.68817,35.05155,32.48731,33.83838,41.91919,40.97561,51.70732,46.82927,47.57281,44.17476,46.88995,48.57143,48.81517,49.2891,50.7109,44.23077,42.30769,38.46154,42.78846,39.90385,41.34615,41.34615
Algeria,DZA,Control of Corruption: Standard Error,CC.STD.ERR,0.2620766,0.2117292,0.2200078,0.1961948,0.1795699,0.1645404,0.1655532,0.1533578,0.1573655,0.1574203,0.164047,0.1612135,0.1530702,0.148408,0.1493111,0.1466518,0.1465295,0.1495948,0.1360611,0.145644,0.1653983,0.1748093
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-1.088766,-0.8290017,-0.963841,-0.5975198,-0.6123729,-0.5726308,-0.4675675,-0.4726413,-0.5657254,-0.6265267,-0.5829369,-0.4795784,-0.5646223,-0.5324013,-0.5344679,-0.478006,-0.5011278,-0.5313044,-0.5919687,-0.5273783,-0.5163999,-0.5258437
Algeria,DZA,Government Effectiveness: Number of Sources,GE.NO.SRC,3,5,5,6,7,8,8,10,10,9,9,9,10,10,11,11,11,11,11,11,10,8
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.11475,19.68912,14.87179,31.12245,31.12245,34.48276,39.21569,38.04878,32.52427,31.06796,35.4067,38.75598,36.01896,35.07109,35.07109,35.09615,35.57692,35.57692,30.76923,34.13462,33.65385,33.65385
Algeria,DZA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,6.010929,9.326425,5.641026,17.85714,17.34694,19.21182,26.47059,26.34146,17.96116,16.50485,19.61723,23.44498,18.95735,21.32701,22.74882,21.63461,20.67308,19.71154,17.30769,18.26923,17.30769,17.30769
Algeria,DZA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,21.85792,35.23316,29.23077,46.42857,44.89796,46.79803,49.01961,49.26829,46.1165,45.14563,47.36842,48.80383,45.97157,47.39336,46.4455,46.15385,47.11538,43.75,41.34615,45.19231,43.75,46.63462
Algeria,DZA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1739037,0.2031547,0.2112371,0.1869344,0.1776029,0.1696814,0.1714315,0.1731471,0.1939384,0.1957161,0.1910841,0.1960761,0.1932631,0.1935923,0.1749083,0.1884214,0.181659,0.176535,0.1835592,0.1832342,0.20313,0.2276689
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.780031,-1.875876,-1.43201,-1.633234,-1.753627,-1.359521,-0.9152133,-1.126453,-1.14836,-1.093989,-1.197078,-1.259368,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9157991,-0.8361196,-1.044343,-0.8601653
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.319149,4.787234,10.05291,6.878307,5.527638,10.67961,20.38835,15.45894,14.00966,14.90385,13.27014,11.84834,10.42654,9.478673,12.79621,9.523809,11.90476,12.38095,16.19048,17.92453,13.20755,17.45283
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,2.12766,0,2.645503,1.058201,1.507538,4.368932,10.67961,8.212561,8.695652,9.615385,7.582938,4.739336,5.21327,5.687204,7.582938,8.095238,9.047619,8.571428,9.523809,11.32076,8.490566,10.84906
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,12.23404,10.6383,19.57672,17.46032,13.06533,18.93204,32.52427,25.12077,22.22222,23.55769,19.90521,19.90521,18.48341,18.00948,19.90521,17.14286,21.42857,20,27.14286,28.77358,23.11321,28.77358
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.342809,0.3161064,0.2924749,0.2872855,0.2786692,0.2531189,0.2441811,0.2464031,0.246402,0.2435471,0.2442496,0.2268074,0.2315082,0.2001131,0.2068148,0.2126011,0.2212777,0.2202831,0.2385149,0.2437513
